2019-03-12 00:00:00

;;;;Devizy;;;Valuty
Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;0.3;15,707;16,513;16,110;0,000;0,000;0,000
Čína;1;CNY;0;3,187;3,595;3,391;0,000;0,000;0,000
Dánsko;1;DKK;0.1;3,353;3,525;3,439;3,353;3,525;3,439
EMS;1;EUR;0.1;25,014;26,292;25,653;25,014;26,292;25,653
Chorvatsko;1;HRK;0;3,374;3,548;3,461;0,000;0,000;0,000
Japonsko;100;JPY;-0.4;19,941;20,966;20,454;0,000;0,000;0,000
Kanada;1;CAD;0;16,577;17,435;17,006;0,000;0,000;0,000
Maďarsko;100;HUF;0;7,924;8,333;8,129;0,000;0,000;0,000
Norsko;1;NOK;0.8;2,567;2,699;2,633;2,567;2,699;2,633
Polsko;1;PLN;0.1;5,816;6,116;5,966;0,000;0,000;0,000
Rumunsko;1;RON;0.1;5,264;5,539;5,402;0,000;0,000;0,000
Rusko;100;RUB;0.6;32,505;36,685;34,595;0,000;0,000;0,000
Švédsko;1;SEK;0.4;2,371;2,493;2,432;2,371;2,493;2,432
Švýcarsko;1;CHF;-0.4;21,987;23,101;22,544;21,987;23,101;22,544
Turecko;1;TRY;-0.1;3,925;4,446;4,185;0,000;0,000;0,000
USA;1;USD;-0.2;22,218;23,355;22,786;22,218;23,355;22,786
Velká Británie;1;GBP;1.6;29,340;30,846;30,093;29,340;30,846;30,093
